地区,年份,国内生产总值,第一产业增加值,第二产业增加值,第三产业增加值,社会商品零售总额,货物进出口总额,年末总人口,在岗职工平均工资,普通高等学校在校学生数,医院、卫生院数,房地产开发投资额
北京,2016,25669.13,129.79,4944.44,20594.9,11005.1,282348.96,1362.86,122749,59.9188,713,4000.57
天津,2016,17885.39,220.22,7571.35,10093.82,5635.8,102655.95,1044.4,87806,51.3842,571,2300.01
石家庄,2016,5927.73,480.88,2693.92,2752.93,2975.2,12160.29,1038,61189,44.1812,425,1015.77
太原,2016,2955.6,38.77,1067.49,1849.34,1666.2,13314.33,370.25,64820,43.2234,245,680.13
呼和浩特,2016,3173.59,113.49,884.43,2175.67,1481.5,1308.67,240.97,56213,23.7734,185,520.52
沈阳,2016,5460.01,266.36,2135.63,3058.02,3985.9,11331.41,734.4,67444,40.3589,383,709.67
大连,2016,6730.33,462.78,2793.69,3473.86,3410.1,51443.88,595.63,73764,29.0217,315,535.17
长春,2016,5917.94,323.53,2915.66,2678.74,2650.3,14162.91,753.43,68434,43.4366,297,596.65
哈尔滨,2016,6101.61,691.18,1896.66,3513.77,3744.2,3974.63,962.05,62583,63.624,471,526.13
上海,2016,28178.65,109.47,8406.28,19662.9,10946.6,433768.19,1450,120503,51.4683,656,3709.03
南京,2016,10503.02,252.54,4117.32,6133.16,5088.2,50214.06,662.79,90191,82.7773,225,1845.6
杭州,2016,11313.72,304.21,4120.93,6888.59,5176.2,67992.41,736,87153,42.7978,365,2606.63
宁波,2016,8686.49,302.06,4455.34,3929.1,3667.6,94923.22,590.96,83656,15.5144,251,1270.33
合肥,2016,6274.38,270.17,3181.24,2822.97,2445.7,18686.99,729.83,71054,49.9515,462,1352.59
福州,2016,6197.64,492.25,2590.43,3114.96,3763.1,31978.54,687.06,67630,31.7477,230,1679.44
厦门,2016,3784.27,23.19,1544.59,2216.49,1283.5,77176.81,220.55,69218,14.2948,60,765.8
南昌,2016,4354.99,181.77,2307.24,1865.98,1868,9407.28,522.79,65812,61.1819,194,674.6
济南,2016,6536.12,317.31,2368.9,3849.91,3764.8,9830.7,632.83,77012,72.6301,270,1164.14
青岛,2016,10011.29,371.01,4160.67,5479.61,4104.9,65581.15,791.35,76616,34.0875,322,1369.14
郑州,2016,8025.31,156.35,3728.66,4140.29,3665.8,55028.78,827.06,61149,88.9329,317,2778.95
武汉,2016,11912.61,390.62,5227.05,6294.94,5610.6,23780.93,833.85,71963,94.8768,386,2517.44
长沙,2016,9455.36,370.95,4521.02,4563.4,4117.4,10934.58,696,77782,59.002,286,1266.63
广州,2016,19547.44,239.28,5751.59,13556.57,8706.5,129308.95,870.49,89096,105.7281,273,2540.85
深圳,2016,19492.6,7.17,7780.45,11704.97,5512.8,398438.92,384.52,89757,9.1883,136,1756.52
南宁,2016,3703.39,400.67,1427.16,1875.57,1980.4,6266.41,751.75,68560,40.0531,228,854
海口,2016,1257.67,63.91,233.56,960.2,653.9,3918.43,167.03,62030,13.2514,139,551.29
重庆,2016,17740.59,1303.24,7898.92,8538.43,7271.4,62753.64,3392.11,67386,73.2475,1606,3725.95
成都,2016,12170.23,474.94,5232.02,6463.27,5742.4,41008.97,1398.9,74408,79.1593,866,2641.14
贵阳,2016,3157.7,137.14,1218.79,1801.77,1195.3,3927.47,401.35,70535,40.4401,258,923.26
昆明,2016,4300.08,200.51,1660.11,2439.46,2310.1,6681.32,559.79,68375,46.5464,414,1530.5
拉萨,2016,424.95,15.12,162.8,247.03,229.7,620.42,53.78,111009,3.7205,80,
西安,2016,6257.18,232.01,2197.81,3827.36,3730.7,27549.91,824.93,69611,83.1569,392,1949.5
兰州,2016,2264.23,60.36,790.1,1413.78,1263.3,4074.35,324.23,67011,42.4842,172,370.39
西宁,2016,1248.17,39.15,595.64,613.37,513.1,8508.26,203.28,61069,7.1464,127,316.5
银川,2016,1617.71,58.61,825.61,733.48,514.2,2490,184.04,70840,9.8912,104,474.94
乌鲁木齐,2016,2458.98,28.14,704.08,1726.76,1236.7,4902.58,267.87,73254,17.3847,152,344.71
